,name,year,sunroof,fuel,original_use,license,gear,glass,engine,meter,wheel_drive,payment,for_what,prev_owners,passengers,price
0,كيا اوبتيما,2014,1,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,75000 ,,نقدا فقط ,للبيع فقط ,يد اولى ,4+1 ,100000
1,كيا سورينتو,2007,1,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2500 ,130000 ,,إمكانية التقسيط ,للبيع أو التبديل ,2 ,7+1 ,60000
2,هونداي افانتي,2006,0,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,,نقدا فقط ,للبيع فقط ,,,43500
3,فيات 127,1982,0,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,906 ,شغال ,,إمكانية التقسيط ,للبيع فقط ,00  ,4+1  ,5500
4,بيجو 208,2014,0,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,38000 ,,نقدا فقط ,للبيع فقط ,,4+1 ,54000
5,بي ام دبليو x3,2015,1,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,,نقدا فقط ,للبيع فقط ,0 ,5+1 ,205000
6,اوبل كورسا,2015,0,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,١٢٣٤٥٦ ,,إمكانية التقسيط ,للبيع فقط ,يد اولى ,٤+١ ,65000
7,مرسيدس C200,2014,1,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,50000 ,,إمكانية التقسيط ,للبيع فقط ,1 ,4+1 ,230000
8,فورد فيستا,2014,0,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,,نقدا فقط ,للبيع فقط ,,,59000
9,نيسان باترول,2003,0,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4500 ,56000 ,,إمكانية التقسيط ,للبيع فقط ,0 ,8 ,84000
10,فورد ترانزيت,2005,0,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500 ,460000 ,,إمكانية التقسيط ,للبيع أو التبديل ,يد اولى ,7+1 ,75000
11,بيجو 206+,2012,0,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,,نقدا فقط ,للبيع فقط ,يد ثانية ,4+1 ,39000
